id,idv,slug,version,required_game,required_game_version,required_modloader,required_modloader_version,required_runtime,required_runtime_version,url_modpack,url_modpack_version,
1,2,ftb-academy-112,1.1.0,minecraft,1.12.2,forge,14.23.5.2846,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/1,https://api.feed-the-beast.com/v1/modpacks/public/modpack/1/2,
1,42,ftb-academy-112,1.2.0,minecraft,1.12.2,forge,14.23.5.2846,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/1,https://api.feed-the-beast.com/v1/modpacks/public/modpack/1/42,
1,145,ftb-academy-112,1.3.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/1,https://api.feed-the-beast.com/v1/modpacks/public/modpack/1/145,
1,158,ftb-academy-112,1.4.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/1,https://api.feed-the-beast.com/v1/modpacks/public/modpack/1/158,
4,94,ftb-presents-stoneblock-2,1.20.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4/94,
4,141,ftb-presents-stoneblock-2,1.21.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4/141,
4,153,ftb-presents-stoneblock-2,1.21.1,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4/153,
4,2115,ftb-presents-stoneblock-2,1.22.0,minecraft,1.12.2,forge,14.23.5.2860,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4/2115,
4,12182,ftb-presents-stoneblock-2,1.23.0,minecraft,1.12.2,forge,14.23.5.2860,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4,https://api.feed-the-beast.com/v1/modpacks/public/modpack/4/12182,
5,89,ftb-interactions,2.0.4,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5/89,
5,92,ftb-interactions,2.0.5,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5/92,
5,95,ftb-interactions,2.0.6,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5/95,
5,96,ftb-interactions,2.0.7,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5/96,
5,120,ftb-interactions,2.0.8,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5/120,
5,121,ftb-interactions,2.0.9,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5/121,
5,2128,ftb-interactions,2.12.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5/2128,
5,2130,ftb-interactions,2.12.1,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.302+8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5,https://api.feed-the-beast.com/v1/modpacks/public/modpack/5/2130,
6,6,ftb-omnia,1.0.0,minecraft,1.15.2,unknown,unknown,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/6,
6,45,ftb-omnia,1.0.1,minecraft,1.15.2,forge,31.1.35,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/45,
6,46,ftb-omnia,1.1.0,minecraft,1.15.2,forge,31.1.36,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/46,
